card name,question,answer
"Black Cat","How do I resolve this effect?","The first eight times the cat would die, it doesn't instead. Track it in some reasonable way. If it gains a deathrite, it does not trigger on the first eight lives, since it doesn't actually die. If the cat is moved to an inhospitable location, e.g. underground or underwater, the game will notice and try to kill it along with any other minions who should die. The other minion's deathrite effects will resolve first, and they'll go to the cemetery. Then the game will notice the cat should die, and continue trying to kill it until it's actually dead and goes to the cemetery."
"Black Mass","When I put the cards on the bottom of my spellbook, do the searched cards get shuffled?","Yes."
"Blacksmith Family","Are these family cards of Castle Servants, Common Cottagers, Blacksmith Family, and Fisherman's Family considered Air, Earth, Fire, and Water spells, respectively?","Yes. You can see the spell's colored frame matches those elements, so Castle Servants is an Air spell, Common Cottagers is an Earth spell, Blacksmith Family is a Fire spell, and Fisherman's Family is a Water Spell."
"Bladedancer","How do I resolve this ability?","Fully complete the first attack, including deathrites. Then, Bladedancer must take a step to a different location to be able to attack a new unit (or the same unit if it's oversized and occupies multiple locations). The step cannot be intercepted, but the attack is an actual second attack, following the normal attack sequence."
"Blasphemy","How do I resolve this effect?","Each minion simultaneously deals 1 damage to its site. Then, starting with the active player and then the non-active player, each minion chooses an artifact at it's location to destroy; you must choose an artifact that hasn't been chosen if possible. Then, all the artifacts are simultaneously destroyed. Finally, all minions tap (and won't untap the next time they normally would)."
"Blasted Oak","How can I tell if a spell or non-basic ability targets something?","It will use the word 'target.'"
"","Are random events affected?","No. Something like Lightning Bolt ('Deal 3 damage to a random unit at target location') must target Blasted Oak's location, but then the random result is still determined randomly"
"","What happens if you have Kythera Mechanism?","When you target, you must follow Blasted Oak's restrictions, but you can still choose random outcomes of your choice if you have Kythera Mechanism."
"","Does summoning a minion target the location where it's summoned?","No, and therefore Blasted Oak doesn't influence where minions may be summoned."
"","How does this interact with Chain Lightning?","You must target all the units you can that share Blasted Oak's site, spending as much mana as needed to do so. Once you've targeted all those units, you could additionally target other units, if you had sufficient mana. For reference, Chain Lightning reads: Deal 2 damage to target unit nearby. Any number of times, you may spend 2 mana to additionally target a new unit nearby the previous one."
"Blaze","What is the proper timing of resolution for this effect?","If the Blazing unit moves and attacks, the proper sequence is to resolve the move, then deal 2 damage at each departed location simultaneously, then resolve the attack."
"","If the Blazing unit moves over the same location multiple times without stopping, how much damage does Blaze do?","Blaze will still only do 2 damage, since a unit is either along the trail, or not. Each time the Blazing unit stops, it creates a separate trail of fire."
"","If the Blazing unit dies, does it deal damage where it died?","No. Though it clearly departed its location, it never 'stops,' which is what causes the flame to cause damage. To 'stop,' a unit needs to move first. (Note that if the Blazing unit somehow died while moving, then Blaze would in fact deal damage when the unit died.)"
"","Is this magic damage?","Yes. The source of the damage is the Blaze spell, not the unit."
"","If a Blazing Megamoeba moves, does Blaze do damage?","No, since the Megamoeba still occupies the sites and thus never departed."
"Bleeding Skull","Does this need to be carried to have an effect?","Yes, since 'you' or 'your' refers to the controller of the artifact, and carriable artifacts must be carried to be controlled."
"Blink","Can a disabled unit Blink?","Yes, this is forced movement, not taking a step themselves."
"","The beta foil version of Blink and Blizzard have their the title, mana cost, and typeline swapped. Is that a misprint?","Yes, this is a misprint. These are not legal for tournament play."
"Blizzard","The beta foil version of Blink and Blizzard have their the title, mana cost, and typeline swapped. Is that a misprint?","Yes, this is a misprint. These are not legal for tournament play."
"Blood Mana","Do I still need to meet threshold requirements and pay additional costs, e.g. discarding a site for Craterize?","Yes!"
"","How does Blood Mana interact with reduced costs?","The same cost you would pay with mana is paid by your life instead."
"","Can I pay more life than I have? What if I'm on death's door?","You cannot pay more life than you have. If you're on death's door, you won't be able to pay any life and Blood Mana won't help you."
"","What happens if the next spell I cast is Twist of Fate?","Let's say your life is 16 and my life is 20. Therefore, you cast Twist of Fate for 4 mana, but instead of mana, you pay 4 life. Your life is now 12 and the magic goes onto the Storyline. The magic resolves, swapping our life totals. My life is now 12 and your life is 20. Tricky!"
"Bodach Bogeyman","How do I resolve this effect?","You may simultaneously pick up from all adjacent locations. Anything picked up is forcefully moved to the Bogeyman's location. Once it arrives, it is disabled."
"Boneyard","What is the proper timing of resolution for this effect?","Non-active player chooses a minion. Active player chooses a minion. Both minions enter the realm simultaneously. Then, the non-active player resolves any triggered abilities (like genesis), and finally the active player resolves their triggered abilities."
"Book of Blessings","If my magic targets my allied minion, does that qualify as 'chooses' for the Book of Blessing?","Yes!"
"Brobdingnag Bullfrog","Does the swallowed minion untap? Is it still in the realm? Can it be attacked?","Yes."
"","If the swallowed minion is moved away somehow, does it lose Disabled?","Yes."
"Bureau of Occult Control","How does this effect resolve?","'Access' occurs if a card would leave the collection or cemetery zone. You may still freely look at your collection and cemetery, and add cards to them. For example, Archimago must pay (2) to use his ability. Similarly, Deathspeaker must pay (2) to use his ability. If an effect is resolving (and not paying a cost like Archimago or Deathspeaker), you may choose not to pay the (2) and have that part of the effect fail. For example, Feast for Crows may search the other zones and simply not remove any spells from cemetery."
"Buried Treasure","Do I get the cards immediately when my minion carrying the treasure moves to the surface, even in the middle of something else (like defending or attacking) ?","Yes! As soon as your unit is on the surface, you resolve the treasure effect."
"Caelestis","Do I still need to meet threshold and summoning requirements when I cast the spell?","Yes. E.g. It must still be cast to your own site."
"Cage of Sidrak","What does it mean to 'lock' a minion here, and how does the Cage work?","All minions with 2 or less power are teleported to the Cage and are carried by it. If the Cage moves, the carried minions move with it. While locked in the cage, the minions remain tapped and disabled. If a minion is somehow no longer carried by the Cage, it is free and no longer disabled. If a minion somehow becomes carried by the Cage (e.g. Swap), it is tapped and disabled."
"Captain Baldassare","If Captain Baldassare attacks a 3 power minion, killing it but also dying in the process, does the Captain have time to use their ability before they die?","Yes, by a long shot! In fact, Captain Baldassare's trigger happens as soon as the attack is resolving, even before strikes are made. The trigger for Captain's ability and the Captain dying aren't in the same window of time. The ability triggers first."
"Castle Haunt","If Castle Haunt is summoned to a void, e.g. Lucid Dreamers, how does its ability apply?","It was never summoned to a site, so it's free to roam around the realm! (Unless it was summoned to The Void site, in which case its restriction applies normally!)"
"","If Castle Haunt leaves its summoning site and doesn't immediately die, what happens?","It's free to roam around the realm! This could happen because the Castle Haunt is silenced or disabled as soon as it leaves its summoning site, or because it survives via a Ward upon leaving. If it ever returns to its summoning site, its ability will apply again if it tries to leave again."
"Castle Servants","Are these family cards of Castle Servants, Common Cottagers, Blacksmith Family, and Fisherman's Family considered Air, Earth, Fire, and Water spells, respectively?","Yes. You can see the spell's colored frame matches those elements, so Castle Servants is an Air spell, Common Cottagers is an Earth spell, Blacksmith Family is a Fire spell, and Fisherman's Family is a Water Spell."
"Cerberus in Chains","What does 'your location' mean?","In this case, 'your location' means 'a location that your avatar occupies.'"
"","What does 'can't move itself away' mean?","Cerberus can't choose to move to a location that is farther from your avatar than its current location. (Count distance using steps that Cerberus would take using its own modes of movement, e.g. Airborne if it gained it somehow.)"
"","If your avatar occupies a site you don't control, can you summon Cerberus there?","No. The first sentence is an additional restriction on summoning."
"","How does Cerberus in Chains automatically follow you?","Whenever your avatar enters a new location, Cerberus in Chains teleports to that location."
"Chain Lightning","Do I pay all the costs and choose all the targets when the spell is cast?","Yes."
"","Does the damage resolve sequentially or simultaneously?","All targets take the damage simultaneously."
"","Can I chain the lightning from target A to target B back to target A?","No, that's not what 'new' means. You can only choose new targets that haven't already been targeted by the spell."
"","Can additional targets be in different regions (as long as they're nearby the previous target)?","No. Being nearby the previous target is an additional targeting restriction, not a loosening of the targeting rules, so all targets must be in the same region as the caster."
"Chaos Twister","Does the minion teleport to the location where it lands?","Yes. It teleports to the surface of the site (or void) where it lands."
"","What if the minion lands in the void?","It deals no damage (even to itself). Since it's now in the void, it is banished (unless it has Voidwalk)."
"","What if the minion lands atop two or more sites?","It lands on only a single site, which is the one that it most fully overlaps."
"","What if I'm using Chaos Twister on a token? Or a really expensive card with triple sleeves?","Feel free to use a stand-in."
"","Does the minion continue to carry whatever it was carrying?","Yes."
"","How should I resolve this card in a tournament setting?","This card as-written represents part of our design philosophy for Sorcery. Apply the birthday candle rule, which is that you must blow the card off your hand in a single breath; if you do not, then the effect fails. If the card falls prior to starting to blow, replace it on your hand. Once you start blowing, if the card falls due to anything other than blowing (e.g. hand movement), the effect fails. Call a judge before resolving this card if you're worried, but please be cool and apply the golden rule!"
"","What if the minion doesn't land in the grid at all?","The teleportation effect doesn't happen and it deals no damage."
"Chaoswish","Where does the copied spell come from?","It's a copy, which is a token, so you have unlimited copies, as needed. It doesn't come from your hand or your deck or anywhere else. It's a token!"
"","If I have Kythera Mechanism and keep 'randomly' choosing Chaoswish, can I cast infinite spells?","Specify the number of times you cast Chaoswish, and then proceed with the game. Your opponent will have the chance to copy Chaoswish that number of times!"
"","How do I generate a random spell?","Click the button on this page!"
"","Once I cast a random spell, how do I track it during the game?","Be prepared with index cards + pencil, or some other way to track what gets copied! Note that a copy is a token, so once it leaves the realm, it's banished per normal token rules. Magics (and any other copy) won't end up in the cemetery."
"","What happens if the random spell cannot be cast, e.g. no valid target?","The spell is not cast, and the next player may copy Chaoswish."
"","What if the random spell has additional costs, e.g. Craterize?","When you cast '((for free)),' you don't pay any additional costs. Have fun!"
"","Must I choose which of my spellcasters is casting the spell before I know what it is?","Yes."
"","What happens if I play Courtesan Thaïs and then immediately play Chaoswish on the same turn?","It's still your turn, so your opponent still controls their own choices. They can freely choose to copy Chaoswish or not. On the other hand, if you cast Courtesan Thaïs first, then on your opponent's turn (which you're controlling) you see that they have Chaoswish in hand and you cast it for them, you can keep copying Chaoswish as long as you want; you will decide for yourself and you will decide for them (since you're controlling their turn)."
"","If my opponent and I keep deciding to copy Chaoswish, what happens?","You have a lot of fun? In a tournament setting, you'll probably hit the round time limit eventually."
"Char Omphalos","Must spells cast by the Omphalos match its elements?","Yes. Any spell the Omphalos casts much match at least one of its elements."
"Clay Golem","Is the site played adjacent to the Clay Golem, superseding normal site placement rules?","Yes!"
"Cloud City","Does this carry along oversized minions or auras that occupy more than one square?","No. If an oversized minion is now occupying the void, it will be banished. (Megamoeba will still move with Cloud City.)"
"","Does this carry along oversized units or auras that occupy more than one square?","No."
"Common Cottagers","Are these family cards of Castle Servants, Common Cottagers, Blacksmith Family, and Fisherman's Family considered Air, Earth, Fire, and Water spells, respectively?","Yes. You can see the spell's colored frame matches those elements, so Castle Servants is an Air spell, Common Cottagers is an Earth spell, Blacksmith Family is a Fire spell, and Fisherman's Family is a Water Spell."
"Cone of Flame","Does Cone of Flame extend across multiple regions?","No, all affected locations must be in the same region as the caster. By default, the damage grid is restricted to the caster's region. If the caster occupies multiple regions (e.g. a oversized unit), pick a single region where you're casting the spell."
"","All the empty boxes are void and the letters are sites. If the spell is cast from the surface of X, is Z affected?","Yes, because it's the same region as the spell effect, even though it's separated by void."
"Conqueror Worm","If I control Rubble, can my opponent still play a site there?","Yes, but it might only feed the worm."
"Consecrated Ground","Does 'has no power here' mean Evil units here have zero power?","Yes. Note that when you strike, you determine your power first, then you determine how much damage you deal. So an Evil minion with a Lance would still strike a unit for 1 damage, because it has 0 power and then gets +1 damage from the Lance. See '((Damage))' for more details."
"Corpse Explosion","How do I resolve this effect?","Deal face up, one at a time, taking minions from any cemetery. You choose which minions you deal to each site. The dead minions do not actually 'enter' the realm with this effect. Then, damage is dealt simultaneously."
"Corruptor","Does the type of my minions change everywhere, or just in the realm?","Everywhere!"
"","Does this ability completely replace their normal type, or simply add a new type?","It adds an additional type. For example, your Mortals are Undead and Mortals and would still be silenced by Bower of Bliss. As another example, your Beasts are Monsters and Beasts, so you would still get the discount from a Pond."
"Courtesan Thaïs","What does it mean for one player to be controlled by another player?","If you control a player, you see all their cards and make all decisions for them. You still must make legal choices for them. For example, you still cannot force their minion to move into the void (without Voidwalk) or attack themselves."
"","What happens if there are multiple copies of Courtesan Thaïs played, overlapping each other?","The effects can overlap. They do not add additional turns of control beyond what's specified by card text. For example, Turn 1: Player A plays Courtesan 1. Turn 2: Player B is controlled by Player A due to Courtesan 1's effect, and plays Courtesan 2. Turn 3: Player A is controlled by Player B due to Courtesan 1's effect and Courtesan 2's effect. Turn 4: Player B is controlled by Player A due to Courtesan 2's effect."
"","The beta foil version has 1 fire threshold and the normal version has 2 fire threshold. Which is correct?","The normal version is correct. You still need 2 fire affinity to cast this minion."
"","What happens if my turn is skipped via Vaults of Zul and Courtesan Thaïs is affecting me?","If a turn is skipped then there's no actual turn, which means that part of Courtesan Thaïs's effect would wait for that player's next actual turn."
"","When I control my opponent's turn, can I force them to concede?","No. Stop it."
"Cradle of Etherrum","Do I still need to meet threshold and summoning requirements when I cast the spell?","Yes. It must be cast during your main phase, to your own site, etc. It's an otherwise normal minion spell being cast, except that it's coming from the top of your library instead of your hand, and costs (1) less."
"","Is the ability to look at my top spell a passive abililty?","Yes. You may look any time on your turn, including during your Start Phase and End Phase."
"Craterize","Do I have to choose 'above' or 'below,' or does it damage both automatically?","There is a giant meteor landing in the realm! It damages both above and ((below)) - surface, underwater, and underground!"
"","All the empty boxes are void and the letters are sites. If the spell is cast from the surface of X, is Z affected?","Yes, because it's the same region as the spell effect, even though it's separated by void."
"Crave Golem","Can Crave Golem attack itself?","No, per normal attack restrictions (which the Crave Golem respects)."
"","Does it use normal targeting rules when attacking?","Yes, except that it may attack other allied minions if they happen to be the chosen target. It still cannot attack Airborne or Stealth units unless it gains a special ability that allows it to do so."
"","How do I properly resolve this ability?","First, identify all the minions that Crave Golem ))can attack(( within its range of motion. If there are one or more such minions: Randomly pick one, then move (if needed), and attack it. This counts as a normal attack and may be defended. For example, if there's one adjacent minion with Airborne and another without Airborne, it will attack the non-Airborne minion 100% of the time (unless Crave Golem somehow gained Airborne). If there are no such minions: Imagine the Crave Golem had unlimited movement. Are there any minions it could attack now? If not, it doesn't move and the ability is over. If so, take one step toward the minion that requires the fewest Crave Golem steps to reach. (Crave Golem's controller's choice if tied.) This movement cannot be intercepted."
"","Does it tap to take a step or attack?","No."
"","When it attacks, does the targeted unit strike back?","Yes."
"","When it attacks, do normal combat rules apply with defending?","Yes."
"Critical Strike","If I double twice, is it multiplied by 4?","Yes."
"Crown Prince","If I sacrifice Crown Prince (e.g. Moon Clan Werewolf, Cauldron Crones, etc.), does its deathrite still trigger?","Yes! When you sacrifice something, it dies, and thus triggers deathrite."
"Crusade","The term 'summon' means 'enter the realm.' So, does that mean I can play minions here for free?","No. This effect simply provides additional locations where you may summon your earth minions."
"Dank Omphalos","Must spells cast by the Omphalos match its elements?","Yes. Any spell the Omphalos casts much match at least one of its elements."
"Darkest Dungeon","What path can I choose when resolving this ability?","See ((Moving to a Specific Location Via a Special Ability or Magic)) in the Codex."
"Day of Judgment","Can I rotate the cross?","Yes."
"","Must the cross be entirely within the realm?","Yes. Evil can cower safely in the corners!"
"","Does this affect multiple regions, such as the void and subsurface as well?","Yes! The card text uses 'affected squares,' which include surface, subsurface, and void."
"","How do I properly resolve the banish and damage effects?","Banish Evil minions first, resolving effects (if any) as a result of their banishment. Then, damage all units occupying those five squares."
"De Vermis Mysteriis","Can I modify the cost of (5)?","Yes! If you have Philosopher's Stone and you're playing as Harbinger, you could perhaps cast minions for a mere (3)!"
"Death Dealer","Does it kill minions everywhere in the realm, even in the void or underground or underwater?","Yes."
"Deathspeaker","At Death's Door, does the Deathspeaker need to meet the threshold requirements?","Yes. Only the casting cost is reduced to (0)."
"","Can any of my spellcasters cast a spell and still benefit from my avatar's ability?","Yes! As long as you control the spellcaster, the game sees it as a spell '((you))' cast, meaning the player."
"","When using the Deathspeaker's ability, do I trigger Deathrite effects (perhaps because the minion is on The Geistwood)?","Normally no, because Deathrite only triggers when the minion dies, and the Deathspeaker's ability banishes the minion. But, if you somehow kill the minion at the same time it enters the realm (e.g. Bottomless Pit), then Deathrite would trigger. The token dies because of Bottomless Pit (interrupting the Deathspeaker's ability), Deathrite resolves, then the token copy is banished like all tokens when it dies."
"","How does this ability resolve, in detail?","You cast the minion spell. Pay mana, meet threshold, banish it from the cemetery, identify where it will be summoned. The minion enters the the realm. (It is a copy of the banished minion.) 'Enter the ))realm((' effects trigger and resolve. These include: Genesis abilities. Effects like Wayfaring Pilgrim, Giant Shark, Mariner's Curse, Bottomless Pit, etc. See '((Simultaneous Triggers))' in the Codex for more details. The minion is banished. The intent is that the Deathspeaker can speak to the dead, invoke their abilities, and then release them into the afterlife (whatever that may be). See also '((Splitting Events on the Storyline))' and the example with Tawny plus a site's genesis. The Deathspeaker's ability is analogous, since the minion will enter, splitting the Deathspeaker's ability on the Storyline, the genesis ability will resolve (along with any other triggered abilities based on a minion entering the ))realm((), then it will get banished."
"","When using the Deathspeaker's ability, do Genesis abilities trigger before the banishing effect?","Yes, because events on the storyline are split up when a card enters the realm. See the '((Splitting Events on the Storyline))' codex entry for more details."
"","Can I cast minions from my opponent's cemetery?","Yes. You control it when it enters the realm, and then it gets banished."
"Deathwish","What if my current life is higher than my maximum life after this effect resolves?","Your current life is immediately reduced to your maximum life."
"","If an avatar has an odd maximum life, do they round down after halving it?","Yes."
"Demonic Contract","What is all of the small text on this card?!","Don't tell me you entered into a contract with a Demon without reading the fine print! The smaller text is all of the rules and stipulations for the casting of this spell!"
"","What is 'lower' rarity?","The order of rarities (from highest to lowest) is: Unique, Elite, Exceptional, and Ordinary. For example, if you control an Exceptional Demon, you could search for an Exceptional or Ordinary spell."
"Divine Intervention","Does this count as healing?","No, this removes Death's Door and then sets your life to 1."
"","What if I cast this while my life is higher than 1?","You set your life to 1."
"Divine Lance","If I break two allied Wards to increase the damage, will it be three instances of 1 damage each, or 3 damage once?","Three damage once."
"Dodge Roll","If Dodge Roll's mana cost is increased (e.g. Maddening Bells), can you cast it on your opponent's turn?","No, because you don't have any mana available on your opponent's turn."
"Dome of Osiros","If a minion here is attacked what happens?","It's not possible to declare an attack against a minion here. If you attack an avatar here and a minion defends, the minion becomes a legal target, per the Defend rules."
"","Does this site protect minions from cards with the word 'attack' in their name, like Leap Attack or Spin Attack?","No. Dome of Osiros only prevents 'attacks' from the Move and Attack basic ability, or other card text that uses the word 'attack' (e.g. Crave Golem)."
"Dormant Monstrosity","When counting 'each unit,' do I include all adjacent squares?","Yes! Count any unit in any square adjacent to the summoning square (including the summoning square itself). Each unit counts once, regardless of how many adjacent squares it occupies."
"Dragonlord","When do I choose my set aside Dragon? Can it change during a tournament?","You must select your set aside Dragon 'before setup,' which means during deckbuilding. You cannot change it during a tournament. The Dragonlord is loyal to his champion and would not be so fickle!"
"","Can my spellbook include a copy of my set aside Unique Dragon?","Yes! The set aside Dragon is intended as a rules reference for both players. You may use a suitable substitute for the set aside Dragon, if needed."
"","When the Dragonlord gains the abilities of the set aside Dragon, does the Dragonlord gain its power as well?","No, power is a characteristic, not an ability. The Dragonlord will only gain the abilities printed in the text box."
"","Can the Dragonlord gain Stealth?","No. Avatars cannot gain Stealth."
"","If the Dragonlord gains Voidwalk, Burrowing, or Submerge, may it enter other regions?","No. Avatars cannot enter any region other than the surface."
"","If the Dragonlord gains Ignis Rex's ability, is that considered fire damage? Same question for Adtonitum and air damage?","Yes! If the Dragonlord gains Ignis Rex's ability and then discards a fire card, the Dragonlord will deal fire damage. Same answer for Adtonitum and air damage."
